w,频数,左信息熵,右信息熵,右右信息熵,凝聚度
考慮,76,1.5863339387898336,1.5863339387898336,3.1726678775796673,1232.5632613908872
研究,482,2.0101968907674395,2.082886562718615,4.093083453486054,1224.8325699363104
簽證,91,1.8760046710904934,2.043578714742348,3.9195833858328415,1200.0742560742563
塑料,64,1.4375213742826947,1.4375213742826947,2.8750427485653893,1196.3413029658088
似乎,153,2.5126577682849884,2.3245840623819687,4.837241830666957,1191.004212804162
威脅,356,2.161073199751518,2.1540902246219367,4.315163424373455,1182.3216783216783
塵肺病,59,2.5284789397483434,2.315939976800949,4.844418916549293,1125.36642599278
批准,39,1.6984745292790422,1.5410989637076045,3.2395734929866467,1100.9864752045416
避免,296,2.1374514784211374,2.1374514784211374,4.274902956842275,1085.6993600173555
結束,136,2.0475592740115798,1.9564182643160768,4.003977538327657,1068.3854660347552
廣泛,215,2.064675305652189,2.049306313331979,4.113981618984168,1063.2526032526032
晶片,120,1.5829835138758257,1.5438440249599865,3.126827538835812,1060.012539184953
推遲,60,1.3131125801333923,1.3131125801333923,2.6262251602667845,1034.395839706332
基督教,6,1.7917594692280547,1.7917594692280547,3.5835189384561095,1033.2895339954161
允許,38,1.7806384100456385,1.692454276602438,3.4730926866480765,1032.5007633587786
激烈,141,1.7502918536295176,1.5065562372241468,3.2568480908536643,1014.3240931815764
陷入困境,62,1.4579276756181925,1.336252291224281,2.7941799668424734,1003.3946587537092
準備,131,2.0415054954202962,1.9622764625311506,4.003781957951447,989.6529043789097
冬奧,86,1.7260657778798185,1.4359111441570507,3.161976922036869,988.12042133877
拜登,497,1.9245522419952696,1.5487309630014956,3.4732832049967652,985.5246003541981
減少,109,1.8489106591816102,1.9367157493788238,3.785626408560434,977.735522720641
甚至,236,1.6590893687966883,2.676247282697473,4.335336651494162,974.2582941136973
火災,78,1.5900259475335026,1.5900259475335026,3.180051895067005,959.0644703828953
武器,98,1.3404051215953976,1.33530102375776,2.675706145353158,957.3338725985844
調查,279,2.6099810783478055,2.2848893931534735,4.894870471501279,942.6676258992806
維吾爾,67,2.4317417278518834,1.469479130705328,3.9012208585572115,935.3914246196404
批評,280,2.5947036074606027,1.7532946014256365,4.3479982088862394,935.1327433628319
繼續,168,2.1897503405397813,2.2779290024040395,4.467679342943821,923.5752816660977
敘利亞,5,1.6094379124341005,1.3321790402101223,2.941616952644223,885.1937172774868
計劃,237,2.1714299025181947,1.9532647322218906,4.124694634740085,881.4938073344039
充滿,197,2.0837362048881336,2.14239269981169,4.226128904699824,880.8103823294128
天主教,6,1.329661348854758,1.5607104090414063,2.8903717578961645,876.0207253886009
疾病,156,1.4622849626528542,1.7466530367287294,3.2089379993815834,873.5545325075349
希望,543,2.5386153743528506,2.796312323374536,5.3349276977273865,870.7612110175278
王室,104,1.7172552336101587,1.3862943611198906,3.1035495947300493,863.9685534591196
風險,259,2.015174298647357,1.5737064651176416,3.5888807637649984,853.2584055104685
瑞士,75,1.425070898416148,1.6570369669833882,3.082107865399536,850.0351935646052
音樂,81,1.7172197663813538,1.4863993821776096,3.203619148558963,848.2660968131562
汽車,353,1.6840735283949195,2.163650253763724,3.8477237821586434,846.3220019923497
放棄,80,1.511257535712388,1.4835554531312163,2.9948129888436044,842.9628244679194
意識形態,5,1.3321790402101223,1.6094379124341005,2.941616952644223,842.2017434620175
歷史,177,2.2974100977140757,2.3480861918028877,4.645496289516963,825.9991857520408
審查,198,1.9306221476156151,1.8571287562799983,3.7877509038956134,824.7821030846555
湖南,12,1.9072839993213795,1.4735023850806486,3.380786384402028,800.6566692975532
改編,171,1.6574783157127506,1.4431399641145422,3.1006182798272928,798.7157035410148
試圖,430,2.1924051266438993,2.2067994148316443,4.399204541475544,776.294603649177
普丁,242,1.7611121573863342,2.7020292363723697,4.463141393758704,770.7384997927888
建築,132,1.7985786274503393,1.5130408692619208,3.31161949671226,756.7115307999422
回歸,162,1.9441858355086874,1.5628289539460904,3.507014789454778,751.802371541502
緊張,403,2.0721454762642577,1.9032059489420878,3.9753514252063455,748.1760194137445
蘋果,313,1.8181370113915192,2.3170160174309893,4.135153028822509,744.8105726872246
廉價,69,1.5783373501677531,1.5783373501677531,3.1566747003355062,743.5407192593891
特斯拉,259,1.4542538397243494,1.9038208139005528,3.358074653624902,742.357848518112
領袖,158,1.9277549162493528,1.8121690155081323,3.739923931757485,741.5438596491229
幫助,283,2.328042000318341,2.4113889776793074,4.739430977997648,740.8721557697519
債務,164,1.9896155324647642,1.77098091856382,3.760596451028584,736.8293107457232
措施,117,1.8380901071674653,1.4987346464251923,3.3368247535926576,729.5716748882024
乘客,85,1.5577269974229566,1.5577269974229566,3.1154539948459132,716.2639553429027
領域,158,2.075765797063246,1.7794421079411658,3.855207905004412,714.4142062473256
武裝,187,1.3976077971689607,1.7225001973184635,3.120107994487424,712.7969248458478
華盛頓,142,1.4182510982317735,1.589592910609772,3.0078440088415457,710.3865546218487
攻擊,179,2.2889535918624753,1.6900996931796457,3.979053285042121,703.680431547619
川普,373,2.2082824161097165,2.423054934530371,4.631337350640088,701.7231111605653
選擇,243,2.574782847057504,2.264522951050031,4.839305798107535,687.2845528455284
改善,95,1.5461284516701437,1.717714118868003,3.263842570538147,685.7660080907705
網路,238,1.7146879194496436,2.1208914047333542,3.835579324182998,682.7280184937753
展覽,45,1.3855641831080479,1.4620537785896908,2.847617961697739,679.6864321608041
規模,258,1.917059675292512,2.4920403356512812,4.409100010943793,673.6508397359175
